"","MatchNo","HomeTeam","AwayTeam","HG","AG","TG","GS.by.H","GC.by.H","GS.by.A","GC.by.A","ExpHG","ExpAG"
"31",301,"Nott'm Forest","Burnley",1.51851851851852,1.24444444444444,1.38148148148148,0.928571428571429,1.35714285714286,1.21428571428571,2.35714285714286,1.4413887506222,1.32425291545189
"32",302,"Arsenal","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,2.38461538461538,0.615384615384615,1.92307692307692,1.15384615384615,1.8119497763025,0.950972104818259
"33",303,"Aston Villa","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,1.42857142857143,0.785714285714286,1.92307692307692,1.15384615384615,1.08549986598767,1.21418759811617
"34",304,"Brighton","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.92307692307692,1.15384615384615,1.16899985567903,1.66420118343195
"35",305,"Everton","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,1.23076923076923,1.38461538461538,1.92307692307692,1.15384615384615,0.935199884543224,2.13968723584108
"36",306,"Liverpool","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.92307692307692,1.15384615384615,1.22744984846298,1.66420118343195
"37",307,"Sunderland","Chelsea",1.51851851851852,1.24444444444444,1.38148148148148,1.57142857142857,0.928571428571429,1.92307692307692,1.15384615384615,1.19404985258644,1.43494897959184
"38",308,"Bournemouth","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,1.53846153846154,1.07692307692308,1.15384615384615,1.07692307692308,1.09106653196709,0.998520710059171
"39",309,"Brentford","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,1.71428571428571,1.07142857142857,1.15384615384615,1.07692307692308,1.21575984990619,0.993426216640502
"40",310,"Liverpool","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,1.61538461538462,1.07692307692308,1.15384615384615,1.07692307692308,1.14561985856545,0.998520710059171
"41",311,"Man City","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,2.42857142857143,0.642857142857143,1.15384615384615,1.07692307692308,1.72232645403377,0.596055729984301
"42",312,"Man United","Crystal Palace",1.51851851851852,1.24444444444444,1.38148148148148,1.92307692307692,1.15384615384615,1.15384615384615,1.07692307692308,1.36383316495887,1.06984361792054
